line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

 19  0.669811723885218E+09    1.500000  0.728818  3.857131  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0732  3.857131    0.000  2.003150  7.290504  0.5727364E+00  0.4129160E+00  1.2177541E-05  3.2091921E-06  4.0217655E-03  3.9755825E-03  1.0344351E-03  2.8786224E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000094  0.0000000E+00  0.0000000000E+00
 20  0.701020179098075E+09    1.500000  0.731326  3.856920  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0738  3.856920    0.000  2.006240  7.291850  0.5651041E+00  0.4205598E+00  1.2501881E-05  3.2949551E-06  4.1049422E-03  3.8681198E-03  1.0470364E-03  2.9177996E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000095  0.0000000E+00  0.0000000000E+00
 21  0.734629284711922E+09    1.500000  0.734006  3.856667  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0745  3.856667    0.000  2.009451  7.293284  0.5569907E+00  0.4286866E+00  1.2863865E-05  3.3906740E-06  4.1978777E-03  3.7556770E-03  1.0530141E-03  2.9388308E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000096  0.0000000E+00  0.0000000000E+00
 22  0.780961837451011E+09    1.500000  0.737759  3.856321  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0767  3.856321    0.000  2.012582  7.295056  0.5486496E+00  0.4370433E+00  1.3250716E-05  3.4930292E-06  4.2940114E-03  3.6701258E-03  1.0265007E-03  2.8695970E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000096  0.0000000E+00  0.0000000000E+00
 23  0.811210032503473E+09    1.500000  0.740129  3.856028  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0770  3.856028    0.000  2.015596  7.296361  0.5408453E+00  0.4448615E+00  1.3628111E-05  3.5928433E-06  4.3900253E-03  3.5573045E-03  1.0291162E-03  2.8809230E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000097  0.0000000E+00  0.0000000000E+00
 24  0.843618812916825E+09    1.500000  0.742636  3.855679  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0776  3.855679    0.000  2.018611  7.297731  0.5327240E+00  0.4529983E+00  1.4033033E-05  3.6999475E-06  4.4932307E-03  3.4436694E-03  1.0238172E-03  2.8700843E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000097  0.0000000E+00  0.0000000000E+00
 25  0.873867007969287E+09    1.500000  0.744937  3.855323  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0783  3.855323    0.000  2.021445  7.299024  0.5249399E+00  0.4607978E+00  1.4434867E-05  3.8062379E-06  4.5956420E-03  3.3343855E-03  1.0148660E-03  2.8487301E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000098  0.0000000E+00  0.0000000000E+00
 26  0.904979437166105E+09    1.500000  0.747308  3.854934  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0789  3.854934    0.000  2.024291  7.300322  0.5170949E+00  0.4686591E+00  1.4849971E-05  3.9160511E-06  4.7008461E-03  3.2275668E-03  9.9988221E-04  2.8103660E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000099  0.0000000E+00  0.0000000000E+00
 27  0.938036393187723E+09    1.500000  0.749755  3.854470  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0796  3.854470    0.000  2.027209  7.301702  0.5087687E+00  0.4770032E+00  1.5302231E-05  4.0357222E-06  4.8144366E-03  3.1164645E-03  9.7920199E-04  2.7560871E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000099  0.0000000E+00  0.0000000000E+00
 28  0.969148822384541E+09    1.500000  0.752081  3.854023  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0802  3.854023    0.000  2.029914  7.302992  0.5009737E+00  0.4848152E+00  1.5733306E-05  4.1498054E-06  4.9218988E-03  3.0151098E-03  9.5564475E-04  2.6933295E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000100  0.0000000E+00  0.0000000000E+00
 29  0.100103906231128E+10    1.500000  0.754460  3.853539  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0808  3.853539    0.000  2.032679  7.304306  0.4929448E+00  0.4928620E+00  1.6182855E-05  4.2687965E-06  5.0333028E-03  2.9127690E-03  9.2831704E-04  2.6199714E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000100  0.0000000E+00  0.0000000000E+00
 30  0.104515493129091E+10    1.500000  0.757961  3.852909  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0824  3.852909    0.000  2.035301  7.305936  0.4848082E+00  0.5010167E+00  1.6627982E-05  4.3867320E-06  5.1367159E-03  2.8419444E-03  8.7722080E-04  2.4801441E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000101  0.0000000E+00  0.0000000000E+00
 31  0.107338012705826E+10    1.500000  0.759963  3.852348  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0828  3.852348    0.000  2.037955  7.307142  0.4770213E+00  0.5088208E+00  1.7067082E-05  4.5030026E-06  5.2447653E-03  2.7388348E-03  8.5480070E-04  2.4202902E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000101  0.0000000E+00  0.0000000000E+00
 32  0.110160532282561E+10    1.500000  0.761990  3.851791  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0832  3.851791    0.000  2.040607  7.308356  0.4692074E+00  0.5166521E+00  1.7510937E-05  4.6205518E-06  5.3533040E-03  2.6380541E-03  8.2930432E-04  2.3517150E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000102  0.0000000E+00  0.0000000000E+00
 33  0.113053614848715E+10    1.500000  0.764067  3.851197  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0836  3.851197    0.000  2.043369  7.309601  0.4611444E+00  0.5247330E+00  1.7970250E-05  4.7422178E-06  5.4649350E-03  2.5367242E-03  8.0060996E-04  2.2741009E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000102  0.0000000E+00  0.0000000000E+00
 34  0.115911415920159E+10    1.500000  0.766089  3.850581  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0839  3.850581    0.000  2.046039  7.310846  0.4531567E+00  0.5327385E+00  1.8425224E-05  4.8627647E-06  5.5745601E-03  2.4394793E-03  7.7001932E-04  2.1910355E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000103  0.0000000E+00  0.0000000000E+00
